"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote"
"FAMI","FARMMI, INC.","7.75","$90.52M","2018","Consumer Non-Durables","Packaged Foods","https://www.nasdaq.com/symbol/fami"
"FARO","FARO Technologies, Inc.","52.65","$892.56M","1997","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/faro"
"FAST","Fastenal Company","49.86","$14.34B","1987","Consumer Services","RETAIL: Building Materials","https://www.nasdaq.com/symbol/fast"
"FAT","FAT Brands Inc.","5.97","$59.7M","2017","Consumer Services","Restaurants","https://www.nasdaq.com/symbol/fat"
"FATE","Fate Therapeutics, Inc.","11.62","$613.21M","2013","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/fate"
"FBSS","Fauquier Bankshares, Inc.","21.49","$81.1M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/fbss"
"FCRE","FC Global Realty Incorporated","0.7499","$8.9M","n/a","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","https://www.nasdaq.com/symbol/fcre"
"FSAC","Federal Street Acquisition Corp.","9.8","$563.5M","2017","Finance","Business Services","https://www.nasdaq.com/symbol/fsac"
"FSACU","Federal Street Acquisition Corp.","10.34","n/a","2017","Finance","Business Services","https://www.nasdaq.com/symbol/fsacu"
"FSACW","Federal Street Acquisition Corp.","1.25","n/a","2017","Finance","Business Services","https://www.nasdaq.com/symbol/fsacw"
"FNHC","Federated National Holding Company","17.04","$223.68M","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/fnhc"
"FENC","Fennec Pharmaceuticals Inc.","12.46","$229.45M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/fenc"
"GSM","Ferroglobe PLC","11.2","$1.93B","n/a","Capital Goods","Metal Fabrications","https://www.nasdaq.com/symbol/gsm"
"FFBW","FFBW, Inc.","10.98","$72.61M","2017","Finance","Savings Institutions","https://www.nasdaq.com/symbol/ffbw"
"FCSC","Fibrocell Science Inc","0.551","$15.62M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/fcsc"
"FGEN","FibroGen, Inc","47.1","$3.93B","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/fgen"
"FDBC","Fidelity D & D Bancorp, Inc.","50.5","$190.99M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/fdbc"
"ONEQ","Fidelity Nasdaq Composite Index Tracking Stock","279.41","$1.48B","n/a","n/a","n/a","https://www.nasdaq.com/symbol/oneq"
"LION","Fidelity Southern Corporation","23.16","$626.08M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/lion"
"FDUS","Fidus Investment Corporation","12.95","$316.8M","2011","n/a","n/a","https://www.nasdaq.com/symbol/fdus"
"FDUSL","Fidus Investment Corporation","25.631","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/fdusl"
"FRGI","Fiesta Restaurant Group, Inc.","19.95","$543.7M","n/a","Consumer Services","Restaurants","https://www.nasdaq.com/symbol/frgi"
"FITB","Fifth Third Bancorp","33.62","$22.77B","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/fitb"
"FITBI","Fifth Third Bancorp","28.63","$515.34M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/fitbi"
"FNGN","Financial Engines, Inc.","35.35","$2.24B","2010","Finance","Investment Managers","https://www.nasdaq.com/symbol/fngn"
"FISI","Financial Institutions, Inc.","31.45","$500.19M","1999","Finance","Major Banks","https://www.nasdaq.com/symbol/fisi"
"FNSR","Finisar Corporation","15.6","$1.79B","1999","Technology","Semiconductors","https://www.nasdaq.com/symbol/fnsr"
"FNJN","Finjan Holdings, Inc.","2.88","$79.83M","n/a","Miscellaneous","Multi-Sector Companies","https://www.nasdaq.com/symbol/fnjn"
"FNTE","FinTech Acquisition Corp. II","9.95","$237.74M","2017","Finance","Business Services","https://www.nasdaq.com/symbol/fnte"
"FNTEU","FinTech Acquisition Corp. II","10.57","n/a","2017","Finance","Business Services","https://www.nasdaq.com/symbol/fnteu"
"FNTEW","FinTech Acquisition Corp. II","1.2","n/a","2017","Finance","Business Services","https://www.nasdaq.com/symbol/fntew"
"FEYE","FireEye, Inc.","18.33","$3.52B","2013","Technology","Computer peripheral equipment","https://www.nasdaq.com/symbol/feye"
"FBNC","First Bancorp","39.28","$1.16B","1987","Finance","Major Banks","https://www.nasdaq.com/symbol/fbnc"
"FNLC","First Bancorp, Inc (ME)","28.73","$311.62M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/fnlc"
"FRBA","First Bank","14.5","$253.49M","2013","n/a","n/a","https://www.nasdaq.com/symbol/frba"
"BUSE","First Busey Corporation","30.31","$1.48B","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/buse"
"FBIZ","First Business Financial Services, Inc.","25.19","$220.79M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/fbiz"
"FCAP","First Capital, Inc.","37.4","$125.55M","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/fcap"
"FCFS","First Cash, Inc.","81.9","$3.81B","1991","Consumer Services","Other Specialty Stores","https://www.nasdaq.com/symbol/fcfs"
"FCNCA","First Citizens BancShares, Inc.","439.45","$5.28B","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/fcnca"
"FCBC","First Community Bancshares, Inc.","31.04","$525.81M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/fcbc"
"FCCO","First Community Corporation","23","$174.87M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/fcco"
"FBNK","First Connecticut Bancorp, Inc.","24.95","$398.82M","2011","Finance","Banks","https://www.nasdaq.com/symbol/fbnk"
"FDEF","First Defiance Financial Corp.","59.65","$607.4M","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/fdef"
"FFBC","First Financial Bancorp.","31.3","$3.06B","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/ffbc"
"FFBCW","First Financial Bancorp.","20","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/ffbcw"
"FFIN","First Financial Bankshares, Inc.","50.3","$3.4B","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/ffin"
"THFF","First Financial Corporation Indiana","43.15","$528.81M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/thff"
"FFNW","First Financial Northwest, Inc.","17","$182.72M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/ffnw"
"FFWM","First Foundation Inc.","18.06","$704.18M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/ffwm"
